#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 4.4721359549995798e-03 -1.6996561506240432e-01
#     2 4.4721359549995798e-03 -1.6538935211869343e-01
#     3 4.4721359549995798e-03 -1.6077828451849061e-01
#adaptive measurement: gap=4.5762629437108848e-03 period_steps=2746 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
 32.50000000 +2.0000000000000000e+00 +1.9999792264018481e+00 +2.3128619964085562e-03 +9.9872595056390179e-01 +9.9998946496662011e-01 +6.6693108163699702e-04 +6.1765339853440699e-04
 33.00000000 +2.0000000000000000e+00 +1.9999783277472578e+00 +2.2871049571966777e-03 +9.9878752864602161e-01 +9.9998877743338210e-01 +6.3090861237670968e-04 +5.9278530796200938e-04
 33.50000000 +2.0000000000000000e+00 +1.9999787750018909e+00 +2.2600038289578286e-03 +9.9885425313588960e-01 +9.9998842601764271e-01 +5.9580245061311950e-04 +5.6151846071971303e-04
 34.00000000 +2.0000000000000000e+00 +1.9999771645777547e+00 +2.2397762692609644e-03 +9.9890399765922011e-01 +9.9998799558660134e-01 +5.7505025380665453e-04 +5.3295643589962229e-04
 34.50000000 +2.0000000000000000e+00 +1.9999761336180657e+00 +2.2218917342596120e-03 +9.9894916496367880e-01 +9.9998762821155751e-01 +5.5678064387435996e-04 +5.0642628601355608e-04
 35.00000000 +2.0000000000000000e+00 +1.9999760479659243e+00 +2.1979580567079381e-03 +9.9901099107543023e-01 +9.9998740439335498e-01 +5.2235344432775821e-04 +4.7925104168461885e-04
 35.50000000 +2.0000000000000000e+00 +1.9999760830085700e+00 +2.1734201462424415e-03 +9.9907681396450110e-01 +9.9998696805789056e-01 +4.8844790371979337e-04 +4.4777002017953361e-04
 36.00000000 +2.0000000000000000e+00 +1.9999759917757514e+00 +2.1575339457092714e-03 +9.9911999828443454e-01 +9.9998672558333868e-01 +4.6344479480831804e-04 +4.2983128944342939e-04
 36.50000000 +2.0000000000000000e+00 +1.9999741963510400e+00 +2.1357142777939158e-03 +9.9917932988295655e-01 +9.9998603409308306e-01 +4.3408227669115379e-04 +4.0055379109005999e-04
 37.00000000 +2.0000000000000000e+00 +1.9999751948266073e+00 +2.1208455357147149e-03 +9.9922265313527092e-01 +9.9998574238462967e-01 +4.1307196843536135e-04 +3.7853250011434637e-04
 37.50000000 +2.0000000000000000e+00 +1.9999748071234977e+00 +2.1045664914223546e-03 +9.9926949309655877e-01 +9.9998539128303221e-01 +3.8403021123238049e-04 +3.6108541166398196e-04
 38.00000000 +2.0000000000000000e+00 +1.9999765077230818e+00 +2.1014593028729771e-03 +9.9928478044115965e-01 +9.9998538187773822e-01 +3.7945528592272739e-04 +3.5038233820251357e-04
 38.50000000 +2.0000000000000000e+00 +1.9999761711150081e+00 +2.0904936142126587e-03 +9.9931936759547058e-01 +9.9998442095183704e-01 +3.5402567500219552e-04 +3.4218569566982828e-04
 39.00000000 +2.0000000000000000e+00 +1.9999781597975270e+00 +2.0863444627384339e-03 +9.9933793416479755e-01 +9.9998443619441091e-01 +3.4517048630522396e-04 +3.3245919460878385e-04
 39.50000000 +2.0000000000000000e+00 +1.9999784524434330e+00 +2.0923384241446816e-03 +9.9932993137841708e-01 +9.9998357413682548e-01 +3.5699247613579614e-04 +3.2950197287266063e-04
 40.00000000 +2.0000000000000000e+00 +1.9999790987091390e+00 +2.1032607255516266e-03 +9.9930906852380241e-01 +9.9998361617767695e-01 +3.6093167354921325e-04 +3.4638367968952560e-04
 40.50000000 +2.0000000000000000e+00 +1.9999772601031753e+00 +2.0992465520208612e-03 +9.9932526416091283e-01 +9.9998308834779348e-01 +3.4859413123505172e-04 +3.4305337143074522e-04
 41.00000000 +2.0000000000000000e+00 +1.9999815155113621e+00 +2.1097944754777821e-03 +9.9930634614193925e-01 +9.9998290479493246e-01 +3.5942388738378396e-04 +3.5132517884902477e-04
