catalog_id,generation,selection_status,version,case_id,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,Q_0_40,Q_40_end,Q_0_60,min_window_Q,projected_ntraj_Q10,selection_score,rank,source
fine_f26_wc7_eta0p0003,previous_grid,screened_out,v0.61,f26_wc7_eta0p0003,7.0,0.0003,-17.1948749688398,1000000,3,75.0,0.0001496165957414892,7.387851829205775e-05,6.038900528206239e-05,2.025170498818377,2.477546948201355,2.025170498818377,,,,0.6752802157166042,24382421,0.9940164542527022,10,v0.61 fine grid with matching exact QM
fine_f22_wc4_eta0p0003,previous_grid,screened_out,v0.61,f22_wc4_eta0p0003,4.0,0.0003,-17.1948749688398,1000000,3,75.0,0.00015811870111576026,8.307524683296776e-05,7.243586483598641e-05,1.9033190648674918,2.1828786261306057,1.9033190648674918,,,,0.7411203079911998,27604305,0.9603848789756656,11,v0.61 fine grid with matching exact QM
fine_f08_wc0p5_eta0p0005,previous_grid,screened_out,v0.61,f08_wc0p5_eta0p0005,0.5,0.0005,-17.1948749688398,1000000,3,75.0,0.00029259332162464126,0.00016956127133022813,0.00021178907898058,1.7255905156243063,1.3815316778041733,1.3815316778041733,,,,0.5480433341230555,52393608,0.9482768510102291,12,v0.61 fine grid with matching exact QM
fine_f13_wc1_eta0p0005,previous_grid,screened_out,v0.61,f13_wc1_eta0p0005,1.0,0.0005,-17.1948749688398,1000000,3,75.0,0.00028878798086682004,0.00020785117385977266,0.00020767576695082524,1.3893978826487245,1.3905713945681542,1.3893978826487245,,,,0.5362094033740085,51802025,0.9474543335926419,13,v0.61 fine grid with matching exact QM
fine_f18_wc2_eta0p0005,previous_grid,screened_out,v0.61,f18_wc2_eta0p0005,2.0,0.0005,-17.1948749688398,1000000,3,75.0,0.00027995921802659437,0.00018991364500091514,0.0001993131556325628,1.474139564986209,1.4046198663509395,1.4046198663509395,,,,0.5281868838447341,50685343,0.9430794666610925,14,v0.61 fine grid with matching exact QM
fine_f03_wc0p25_eta0p0005,previous_grid,screened_out,v0.61,f03_wc0p25_eta0p0005,0.25,0.0005,-17.1948749688398,1000000,3,75.0,0.0002941544342076035,0.00022002623043832867,0.0001895785648930702,1.3369062116893935,1.5516228555349505,1.3369062116893935,,,,0.5278150495810866,55949746,0.920090904724085,15,v0.61 fine grid with matching exact QM
fine_f23_wc4_eta0p0005,previous_grid,screened_out,v0.61,f23_wc4_eta0p0005,4.0,0.0005,-17.1948749688398,1000000,3,75.0,0.000264810766896621,0.00016457161398083887,0.0001883647469574254,1.609091388794747,1.4058403771087489,1.4058403771087489,,,,0.489281411802365,50597374,0.9180068646252398,16,v0.61 fine grid with matching exact QM
fine_f27_wc10_eta0p0003,previous_grid,screened_out,v0.61,f27_wc10_eta0p0003,10.0,0.0003,-17.1948749688398,1000000,3,75.0,0.00014565347718909638,7.973343334523692e-05,6.221797424196797e-05,1.8267553657000193,2.341019278812336,1.8267553657000193,,,,0.6294662393918977,29966721,0.8846732932867162,17,v0.61 fine grid with matching exact QM
fine_f09_wc0p5_eta0p0007,previous_grid,screened_out,v0.61,f09_wc0p5_eta0p0007,0.5,0.0007,-17.1948749688398,1000000,3,75.0,0.0004177775649914041,0.0003857220457333941,0.0003953693645726635,1.0831052298218038,1.0566766229926807,1.0566766229926807,,,,0.42285322411809045,89560354,0.8666759664598295,18,v0.61 fine grid with matching exact QM
fine_f14_wc1_eta0p0007,previous_grid,screened_out,v0.61,f14_wc1_eta0p0007,1.0,0.0007,-17.1948749688398,1000000,3,75.0,0.0004115798715921651,0.00043684574226412836,0.00041525149471970216,0.9421629462587577,0.9911580736632497,0.9421629462587577,,,,0.38972748925214273,112654349,0.7669996760671781,19,v0.61 fine grid with matching exact QM
