run,start_au,stop_au,observations,orbital,active,signal_RMS,RMSE,Q
pilot_n256_step10,1000,1100,11,6,True,8.839857777330994e-08,0.00044564448360621137,0.00019836120725197245
pilot_n256_step10,1000,1100,11,7,True,8.583778062898863e-08,0.00037790839354038045,0.0002271391217983536
pilot_n256_step10,1000,1100,11,8,True,8.333950325229791e-08,0.0003112137905179519,0.00026778859353756884
pilot_n256_step10,1000,1100,11,9,True,8.090562740765405e-08,0.0002494733926313515,0.00032430563658229013
pilot_n256_step10,1100,1200,11,0,True,4.2941781107753093e-07,0.0002992412494848069,0.001435022116158265
pilot_n256_step10,1100,1200,11,1,False,1.9648471956082197e-11,8.582572604745664e-06,2.2893452652200965e-06
pilot_n256_step10,1100,1200,11,2,False,2.2234920311730934e-11,7.3119509852701705e-06,3.04090117077137e-06
pilot_n256_step10,1100,1200,11,3,False,2.958223276224363e-11,4.464252209340306e-06,6.6264698711131006e-06
pilot_n256_step10,1100,1200,11,4,False,4.822764782429799e-11,3.5447022930868495e-06,1.3605556641062705e-05
pilot_n256_step10,1100,1200,11,5,True,9.104974304933978e-08,0.0001448691842153413,0.000628496277814325
pilot_n256_step10,1100,1200,11,6,True,8.84045792753763e-08,9.827007074421827e-05,0.0008996083813298526
pilot_n256_step10,1100,1200,11,7,True,8.583609377635053e-08,7.072023625884292e-05,0.0012137416150899455
pilot_n256_step10,1100,1200,11,8,True,8.333970560258347e-08,9.450175217499202e-05,0.0008818852950817312
pilot_n256_step10,1100,1200,11,9,True,8.090576146837882e-08,0.00016060867159565037,0.0005037446649958465
pilot_n256_step10,1200,1300,11,0,True,4.293954863304496e-07,0.0016592485182934063,0.0002587891335121381
pilot_n256_step10,1200,1300,11,1,False,2.4000583158317188e-11,8.18479546672917e-06,2.932337558816038e-06
pilot_n256_step10,1200,1300,11,2,False,2.613016946048062e-11,7.994712957779272e-06,3.268431224294877e-06
pilot_n256_step10,1200,1300,11,3,False,2.9684122833439245e-11,6.3651801710124935e-06,4.663516512639023e-06
pilot_n256_step10,1200,1300,11,4,False,6.648590250595117e-11,6.434520280805352e-06,1.03326898672281e-05
pilot_n256_step10,1200,1300,11,5,True,9.10597077844025e-08,0.000290452940670117,0.0003135093332996201
pilot_n256_step10,1200,1300,11,6,True,8.839686735961202e-08,0.0003435601742554109,0.00025729660765015113
pilot_n256_step10,1200,1300,11,7,True,8.583737657919996e-08,0.0003733597883443096,0.00022990525294609758
pilot_n256_step10,1200,1300,11,8,True,8.333986193724036e-08,0.00038039573742944385,0.00021908726554197605
pilot_n256_step10,1200,1300,11,9,True,8.090475071916769e-08,0.00036595671164582004,0.00022107737922147705
pilot_n256_step10,1300,1400,11,0,True,4.2934921067326277e-07,0.002147325754248597,0.0001999460071783579
pilot_n256_step10,1300,1400,11,1,False,3.52907353529442e-11,6.819486829177626e-06,5.174984018144951e-06
pilot_n256_step10,1300,1400,11,2,False,3.78919253990811e-11,4.78957112784695e-06,7.911339948325313e-06
pilot_n256_step10,1300,1400,11,3,False,4.053528984585168e-11,5.326623538229398e-06,7.609940810520627e-06
pilot_n256_step10,1300,1400,11,4,False,7.428032984001445e-11,8.420221703044982e-06,8.821659626034865e-06
pilot_n256_step10,1300,1400,11,5,True,9.105637868299338e-08,0.00039131663199512616,0.00023269232953054622
pilot_n256_step10,1300,1400,11,6,True,8.839990553498296e-08,0.00035696624441129655,0.0002476421984402777
pilot_n256_step10,1300,1400,11,7,True,8.583638146061103e-08,0.00037604300489086,0.00022826214114931765
pilot_n256_step10,1300,1400,11,8,True,8.334027746847942e-08,0.00047502918618784967,0.00017544243573177547
pilot_n256_step10,1300,1400,11,9,True,8.090272739727122e-08,0.0006212933941364573,0.00013021662255031512
pilot_n256_step10,1400,1500,11,0,True,4.2935403915040526e-07,0.0045184593739574196,9.502221965854758e-05
pilot_n256_step10,1400,1500,11,1,False,3.5137231169532384e-11,1.3880446655026644e-05,2.531419344262084e-06
pilot_n256_step10,1400,1500,11,2,False,3.7790715729436465e-11,1.302174003762526e-05,2.9021248788751167e-06
pilot_n256_step10,1400,1500,11,3,False,4.5808102887329805e-11,1.0805379487964023e-05,4.239379370095689e-06
pilot_n256_step10,1400,1500,11,4,False,5.351404631659225e-11,8.125250158565213e-06,6.5861413830047495e-06
